symbol,name,type
PSIS,Prabhu Systematic Investment Scheme,fund
PURBL,Purnima Bikas Bank Ltd.,equity
PURBLP,Purnima Bikas Bank Ltd. Promoter Share,promoter
PURE,Pure Energy Ltd,equity
RADHI,Radhi Bidyut Company Ltd,equity
RAWA,Rawa Energy Development Limited,equity
RBB,Rastriya Banijya Bank Limited,equity
RBBD2088,7% RBBL Debenture 2088,bond
RBBD83,"8.5% RBBL Debenture, 2083",bond
RBBF40,RBB FOCUS 40,equity
RBCL,Rastriya Beema Company Limited,equity
RBCLPO,Rastriya Beema Company Limited Promoter Share,promoter
RBS,Rastriya Beema Sasthan,equity
RFPL,River Falls Power Limited,equity
RHGCL,Rapti Hydro and General Construction Limited,equity
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,equity
RIDI,Ridi Power Company Ltd.,equity
RJM,Raghupati Jute Mills Limited,equity
RLEL,Ridge Line Energy Limited,equity
RLFL,Reliance Finance Ltd.,equity
RLFLPO,Reliance Finance Ltd. Promoter Share,promoter
RLI,Reliance Life Insurance Limited,equity
RMBFPO,Royal Merchant Bank & Finance Co. Ltd. Promoter Share,promoter
RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,equity
RMDCPO,Rural Microfinance Development Centre Ltd. Promoter Share,promoter
RMF1,RBB Mutual Fund 1,fund
RMF2,RBB Mutual Fund 2,fund
RNLI,Reliable Nepal Life Insurance Limited,equity
RRHP,Rairang Hydropower Development Company Ltd.,promoter
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,equity
RSDCP,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
RSML,Reliance Spinning Mills Limited,equity
RSY,Reliable Samriddhi Yojana,fund
RSY2,Reliable Samriddhi Yojana-2,fund
RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,equity
RURU,Ru Ru Jalbidhyut Pariyojana Limited,fund
SABBL,Salapa Bikas Bank Limited,equity
SABSL,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,equity
SADBL,Shangrila Development Bank Ltd.,equity
SADBLP,Shangrila Development Bank Ltd. Promoter Share,promoter
SAEF,Sanima Equity Fund,fund
SAEF2,Sanima Equity Fund II,fund
SAGAR,Sagar Distillery Limited,equity
SAGF,Sanima Growth Fund,fund
SAHAS,Sahas Urja Limited,equity
SAIL,Shreenagar Agritech Industries Ltd,equity
SALICO,Sagarmatha Lumbini Insurance Company Limited,equity
SAMAJ,Samaj Laghubitta Bittiya Sanstha Limited,equity
SAND2085,Sanima Bank Limited Debenture,bond
SANIMA,Sanima Bank Limited,equity
SANIMAPNP,8.25% Sanima Perpetual Non cumulative Preference Share,bond
SANVI,Sanvi Energy Limited,equity
SAPDBL,Saptakoshi Development Bank Ltd,equity
SAPIL,Sarvottam Paints Industries Limited,equity
SARBTM,Sarbottam Cement Limited,equity
SBBLJ,Sahayogi Bikas Bank Limited,equity
SBBLJP,Sahayogi Bikas Bank Ltd. Promoter Share,promoter
SBBLPO,Sanima Bank Ltd. Promoter Share,promoter
SBCF,Sunrise Bluechip Fund,fund
SBD87,8.5% Sanima Debenture 2087,bond
SBD89,10.25% Sanima Debenture 2089,bond
SBI,Nepal SBI Bank Limited,equity
SBIBD86,10% Nepal SBI Bank Debenture 2086,bond
SBID2090,7% Nepal SBI Bank Debenture 2090,bond
SBID83,10.25% Nepal SBI Bank Debenture 2083,bond
SBID89,9% Nepal SBI Bank Rinpatra 2089,bond
SBIPO,Nepal SBI Bank Ltd. Promoter Share,promoter
SBIR90,7% Nepal SBI Rinpatra 2090,bond
SBL,Siddhartha Bank Limited,equity
SBLD2082,10.50% SBL Debenture 2082,bond
SBLD2091,S.B.L Debenture 2091,bond
SBLD83,10.25% SBL Debenture 2083,bond
SBLD84,8.5% SBL Debenture 2084,bond
SBLD89,10.75% SBL Debenture 2089,bond
SBLPNP,SBL 8.25% Perpetual Non cumulative Preference Share,bond
SBLPO,Siddhartha Bank Limited Promoter Share,promoter
SBPP,Shree Bhrikuti Pulp And Paper Limited,promoter
SCB,Standard Chartered Bank Limited,equity
SCBD,10.30% Standard Chartered Bank Nepal Limited Debenture,bond
SCBPO,Standard Chartered Bank Limited Promoter Share,promoter
SDBD87,"10 years, 9%, Shangrila Development Bank Debenture 2087",bond
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,equity
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,equity
SEF,Siddhartha Equity Fund,fund
SEF2,Siddhartha Equity Fund 2,fund
SENFLOAT,Sensitive Float Index,index
SENSITIVE,Sensitive Index,index
SEOS,Siddhartha Equity Orineted Scheme,fund
SFC,Samjhana Finance Co. Ltd.,equity
SFCL,Samriddhi Finance Company Limited,equity
SFCLP,Samriddhi Finance Company Limited Promoter Share,promoter
SFCPO,Samjhana Finace Co. Ltd. Promoter Share,promoter
SFEF,Sunrise Focused Equity Fund,fund
SFF,Sanima Flexi Fund,fund
SFFIL,Shrijana Finance (Bittaya Sanstha,equity
SFFILP,Shrijana Finance Ltd. Promoter Share,promoter
SFMF,Sunrise First Mutual Fund,fund
SGHC,Swet-Ganga Hydropower and Construction Limited,equity
SGHL,Sanigad Hydro Limited,equity
SGI,Sanima General Insurance Company Limited,equity
SGIC,Sanima GIC Insurance Limited,equity
SHBL,Sahara Bikas Bank Ltd.,equity
SHBLPO,Sahara Bikas Bank Ltd. Promoter Share,promoter
SHEL,Singati Hydro Energy Limited,equity
SHINE,Shine Resunga Development Bank Ltd.,equity
SHINED,Shine Resunga Debenture,bond
SHINEP,Shine Resunga Development Bank Ltd. Promoter Share,promoter
SHIVM,SHIVAM CEMENTS LTD,equity
SHL,Soaltee Hotel Limited,equity
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,equity
SHPC,Sanima Mai Hydropower Ltd.,equity
SHUBHA,Shubha Laxmi Kosh,equity
SIC,Sagarmatha Insurance Co. Ltd.,equity
SICL,Shikhar Insurance Co. Ltd.,equity
SICLPO,Shikhar Insurance Co. Ltd. Promoter,promoter
SICPO,Sagarmatha Insurance Co. Ltd. Promoter Share,promoter
SIFC,Shree Investment Finance Co. Ltd.,equity
SIFCPO,Shree Investment & Finance Co. Ltd. Promoter Share,promoter
SIGS2,Siddhartha Investment Growth Scheme - 2,fund
SIGS3,Siddhartha Investment Growth Scheme 3,fund
SIKLES,Sikles Hydropower Limited,equity
SIL,Siddhartha Insurance Ltd.,equity
SILPO,Siddhartha Insurance Ltd. Promoter Share,promoter
SINDU,Sindhu Bikash Bank Ltd,equity
SINDUP,Sindhu Bikas Bank Ltd. Promoter Share,promoter
SIPD,Shikhar Power Development Limited,fund
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,equity
SJLIC,Suryajyoti Life Insurance Company Limited,equity
SJLICP,SuryaJyoti Life Insurance Company Limited Promoter,promoter
SKBBL,Sana Kisan Bikas Bank Ltd,equity
SKBBLP,Sana Kisan Bikas Bank Ltd Promoter Share,promoter
SKHEL,Suryakunda Hydro Electric Limited,equity
SKHL,Super Khudi Hydropower Limited,equity
SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,equity
SLBBLP,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share,promoter
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,equity
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,equity
SLCF,Sanima Large Cap Fund,fund
SLI,Sanima Life Insurance Limited,equity
SLICL,Surya Life Insurance Company Limited,equity
SLICLP,Surya Life Insurance Co. Ltd. Promoter Share,promoter
SLK,Shubha Laxmi Kosh,equity
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,equity
SMATAP,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,promoter
SMB,Support Microfinance Bittiya Sanstha Ltd.,equity
SMBPO,Support Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,equity
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,equity
SMFDBP,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,promoter
SMH,Supermai Hydropower Limited,equity
SMHL,Super Madi Hydropower Limited,equity
SMJC,Sagarmatha Jalbidhyut Company Limited,equity
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,equity
SNLI,Sun Nepal Life Insurance Company Limited,equity
SNMAPO,Sanima Bank Ltd. Promoter Share,promoter
SNORL,Snow Rivers Limited,equity
SOHL,Solu Hydropower Limited,equity
SONA,Sonapur Minerals and Oil Limited,equity
SOPL,Sopan Pharmaceuticals Limited,equity
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,equity
SPC,Samling Power Company Limited,equity
SPDL,Synergy Power Development Ltd.,equity
SPHL,Sayapatri Hydropower Limited,equity
SPIL,Siddhartha Premier Insurance Limited,equity
SPL,Shuvam Power Limited,equity
SRBL,Sunrise Bank Limited,equity
SRBLD83,10.25% Sunrise Bank Debenture 2083,bond
SRBLPO,Sunrise Bank Ltd Promoter Share,promoter
SRD80,10% Sunrise Debenture 2080,bond
SRLI,Sanima Reliance Life Insurance Limited,equity
SRLIP,Sanima Reliance Life Insurance Limited Promoter Share,promoter
SRS,Shree Ram Sugar Mills Limited,equity
SSHL,Shiva Shree Hydropower Ltd,equity
SSIS,Siddhartha Systematic Investment Scheme,fund
STC,Salt Trading Corporation,equity
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,equity
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,equity
SWBBLP,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,promoter
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,equity
SYFL,Synergy Finance Ltd.,equity
SYFLPO,Synergy Finance Ltd. Promoter Share,promoter
SYPNL,SY Panel Nepal Limited,equity
TAMOR,Sanima Middle Tamor Hydropower Limited,equity
TMDBL,Tinau Mission Development Bank Limited,equity
TMDBLP,Tinau Mission Development Bank Limited Promoter Share,promoter
TPC,Terhathum Power Company Limited,equity
TPKHL,Taksar Pikhuwa Khola Hydropower Limited,equity
TRADING,Trading,index
TRH,Taragaon Regency Hotel Limited,equity
TRHPR,Taragaon Regency Hotels Ltd. Preference Share,equity
TSHL,Three Star Hydropower Limited,equity
TTL,Trade Tower Limited,equity
TVCL,Trishuli Jal Vidhyut Company Limited,equity
UAIL,United Ajod Insurance Limited,equity
UFL,United Finance Ltd.,equity
UFLPO,United Finance Company Limited Promoter Share,promoter
UHEWA,Upper Hewakhola Hydropower Company Limited,equity
UIC,United Insurance Co. (Nepal) Ltd.,equity
UICPO,United Insurance Co. (Nepal) Ltd. Promoter Share,promoter
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,equity
ULHC,Upper Lohore Hydropower Company Limited,equity
ULI,Union Life Insurance Co. Ltd.,equity
UMB,UNNATI LAGHUBITTA BITTIYA SANSTHA LIMITED,equity
UMBPO,Unnnati Microfinance Bittya Shansha Ltd Promoter Share,promoter
UMHL,United Modi Hydropower Ltd.,equity
UMRH,United Idi-Mardi and R.B. Hydropower Limited,equity
UNHPL,Union Hydropower Limited,equity
UNL,Unilever Nepal Limited,equity
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Ltd.,equity
UPCL,UNIVERSAL POWER COMPANY LTD,equity
UPPER,Upper Tamakoshi Hydropower Ltd,equity
USHEC,Upper Solu Hydro Electric Company Limited,equity
USHL,Upper Syange Hydropower Limited,equity
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,equity
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,equity
VLBSPO,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
VLUCL,Vision Lumbini Urja Company Limited,equity
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Ltd.,equity
WOMIPO,Womi Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
YHL,Yak And Yeti Hotel Limited,equity
YMHL,Yambling Hydropower Company  Limited,equity
