symbol,name,type
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,equity
GBBD85,8.75% Garima Debenture 2085,bond
GBBL,Garima Bikas Bank Limited,equity
GBBLPO,Garima Bikas Bank Limited Promoter Share,promoter
GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,bond
GBILD80|81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,bond
GBILD84/85,Global IME Bank Debenture 2084/85,bond
GBILD86/87,Global IME Bank Limited Debenture 2086/87,bond
GBIME,Global IME Bank Limited,equity
GBIMEP,Global IME Bank Ltd. Promoter Share,promoter
GBIMESY2,Global IME Samunnat Yojana - II,fund
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,equity
GBLBSP,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
GCIL,Ghorahi Cement Industry Limited,equity
GDBL,Gandaki Bikas Bank Limited,equity
GDBLPO,Gandaki Bikas Bank Limited Promoter Share,promoter
GFCL,Goodwill Finance Co. Ltd.,equity
GFCLPO,Goodwill Finance Co. Ltd. Promoter Share,promoter
GHL,Ghalemdi Hydro Limited,equity
GIBF1,Global IME Balanced Fund - 1,fund
GIC,General Insurance Company Nepal Ltd,equity
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,equity
GILBPO,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
GIMES1,Global IME Samunnat Scheme-1,fund
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,equity
GLH,GREENLIFE HYDROPOWER LIMITED,equity
GLICL,Gurans Life Insurance Company Ltd.,equity
GLICLP,Guras Life Insurance Company Ltd. Promoter Share,promoter
GMFBS,Ganapati Microfinance Bittiya Sanstha Limited,equity
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,equity
GMFILP,Guheyshwori Merchant & Finance Ltd. Promoter Share,promoter
GMLI,Guardian Micro Life Insurance Limited,equity
GRDBL,Green Development Bank Ltd.,equity
GRDBLP,Green Development Bank Ltd. Promoter Share,promoter
GRU,Gorakhkali Rubber Udhyog Limited,equity
GSY,Garima Samriddhi Yojana,fund
GSYA,Garima Subarna Yojana,fund
GUFL,Gurkhas Finance Ltd.,equity
GUFLPO,Gurkhas Finance Ltd. Promoter Share,promoter
GVL,Green Ventures Limited,equity
GWFD83,12% Goodwill Finance Limited Debenture 2083,bond
H8020,Himalayan 80-20,equity
HAMRO,Hamro Bikas Bank Ltd.,equity
HAMROP,Hamro Bikas Bank Ltd. Promoter Share,promoter
HATH,Hathway Finance Company Limited,equity
